ROI_A,ROI_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
ROI.01 [],ROI.02 [],3,1,1.6666666666666667,1.0,1.0,ns
ROI.01 [],ROI.03 [],3,2,1.6666666666666667,1.5,1.0,ns
ROI.01 [],ROI.06 [],3,2,1.6666666666666667,2.5,0.3329216080655659,ns
ROI.01 [],ROI.07 [],3,2,1.6666666666666667,1.0,0.31731050786291415,ns
ROI.01 [],ROI.08 [],3,2,1.6666666666666667,1.0,0.31731050786291415,ns
ROI.01 [],ROI.09 [],3,2,1.6666666666666667,1.0,0.31731050786291415,ns
ROI.01 [],ROI.11 [],3,3,1.6666666666666667,1.3333333333333333,0.6192567541768621,ns
ROI.01 [],ROI.13 [],3,2,1.6666666666666667,1.5,1.0,ns
ROI.02 [],ROI.03 [],1,2,1.0,1.5,1.0,ns
ROI.02 [],ROI.06 [],1,2,1.0,2.5,1.0,ns
ROI.02 [],ROI.07 [],1,2,1.0,1.0,1.0,ns
ROI.02 [],ROI.08 [],1,2,1.0,1.0,1.0,ns
ROI.02 [],ROI.09 [],1,2,1.0,1.0,1.0,ns
ROI.02 [],ROI.11 [],1,3,1.0,1.3333333333333333,1.0,ns
ROI.02 [],ROI.13 [],1,2,1.0,1.5,1.0,ns
ROI.03 [],ROI.06 [],2,2,1.5,2.5,0.4142161782425252,ns
ROI.03 [],ROI.07 [],2,2,1.5,1.0,0.6170750774519738,ns
ROI.03 [],ROI.08 [],2,2,1.5,1.0,0.6170750774519738,ns
ROI.03 [],ROI.09 [],2,2,1.5,1.0,0.6170750774519738,ns
ROI.03 [],ROI.11 [],2,3,1.5,1.3333333333333333,1.0,ns
ROI.03 [],ROI.13 [],2,2,1.5,1.5,1.0,ns
ROI.06 [],ROI.07 [],2,2,2.5,1.0,0.22067136191984682,ns
ROI.06 [],ROI.08 [],2,2,2.5,1.0,0.22067136191984682,ns
ROI.06 [],ROI.09 [],2,2,2.5,1.0,0.22067136191984682,ns
ROI.06 [],ROI.11 [],2,3,2.5,1.3333333333333333,0.2235428745713206,ns
ROI.06 [],ROI.13 [],2,2,2.5,1.5,0.4142161782425252,ns
ROI.07 [],ROI.08 [],2,2,1.0,1.0,1.0,ns
ROI.07 [],ROI.09 [],2,2,1.0,1.0,1.0,ns
ROI.07 [],ROI.11 [],2,3,1.0,1.3333333333333333,0.6830913983096087,ns
ROI.07 [],ROI.13 [],2,2,1.0,1.5,0.6170750774519738,ns
ROI.08 [],ROI.09 [],2,2,1.0,1.0,1.0,ns
ROI.08 [],ROI.11 [],2,3,1.0,1.3333333333333333,0.6830913983096087,ns
ROI.08 [],ROI.13 [],2,2,1.0,1.5,0.6170750774519738,ns
ROI.09 [],ROI.11 [],2,3,1.0,1.3333333333333333,0.6830913983096087,ns
ROI.09 [],ROI.13 [],2,2,1.0,1.5,0.6170750774519738,ns
ROI.11 [],ROI.13 [],3,2,1.3333333333333333,1.5,1.0,ns
