ROI_A,ROI_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
ROI.01 [],ROI.02 [],10,2,7.875600000000001,0.0,0.10096603823581661,ns
ROI.01 [],ROI.03 [],10,1,7.875600000000001,4.7890000000000015,1.0,ns
ROI.01 [],ROI.04 [],10,1,7.875600000000001,3.778999999999997,1.0,ns
ROI.01 [],ROI.05 [],10,2,7.875600000000001,2.6385000000000005,0.33026146666995704,ns
ROI.01 [],ROI.06 [],10,11,7.875600000000001,15.315999999999997,0.4544988530850367,ns
ROI.01 [],ROI.07 [],10,2,7.875600000000001,2.8885000000000005,0.4489093182648598,ns
ROI.01 [],ROI.08 [],10,1,7.875600000000001,0.7780000000000058,1.0,ns
ROI.01 [],ROI.09 [],10,9,7.875600000000001,6.012555555555555,0.22470345782609913,ns
ROI.01 [],ROI.10 [],10,2,7.875600000000001,0.0,0.10096603823581661,ns
ROI.01 [],ROI.11 [],10,24,7.875600000000001,19.251041666666666,0.3103561627664976,ns
ROI.01 [],ROI.12 [],10,1,7.875600000000001,0.0,1.0,ns
ROI.01 [],ROI.13 [],10,2,7.875600000000001,2.3945000000000007,0.33026146666995704,ns
ROI.01 [],ROI.14 [],10,2,7.875600000000001,2.8885000000000005,0.4489093182648598,ns
ROI.01 [],ROI.15 [],10,1,7.875600000000001,5.277000000000001,1.0,ns
ROI.01 [],ROI.16 [],10,2,7.875600000000001,18.033499999999997,0.4513065347609777,ns
ROI.01 [],ROI.17 [],10,3,7.875600000000001,10.09833333333333,0.6682841020494257,ns
ROI.01 [],ROI.19 [],10,1,7.875600000000001,39.27699999999999,1.0,ns
ROI.01 [],ROI.21 [],10,1,7.875600000000001,3.778999999999997,1.0,ns
ROI.01 [],ROI.22 [],10,1,7.875600000000001,32.77799999999999,1.0,ns
ROI.01 [],ROI.24 [],10,12,7.875600000000001,31.40275,0.059488929462907854,ns
ROI.01 [],ROI.25 [],10,17,7.875600000000001,11.558058823529409,0.47800931830733595,ns
ROI.01 [],ROI.26 [],10,9,7.875600000000001,23.497222222222224,0.3891793830279444,ns
ROI.02 [],ROI.03 [],2,1,0.0,4.7890000000000015,1.0,ns
ROI.02 [],ROI.04 [],2,1,0.0,3.778999999999997,1.0,ns
ROI.02 [],ROI.05 [],2,2,0.0,2.6385000000000005,0.6170750774519738,ns
ROI.02 [],ROI.06 [],2,11,0.0,15.315999999999997,0.17716796703762228,ns
ROI.02 [],ROI.07 [],2,2,0.0,2.8885000000000005,0.6170750774519738,ns
ROI.02 [],ROI.08 [],2,1,0.0,0.7780000000000058,1.0,ns
ROI.02 [],ROI.09 [],2,9,0.0,6.012555555555555,0.3393354514081277,ns
ROI.02 [],ROI.10 [],2,2,0.0,0.0,1.0,ns
ROI.02 [],ROI.11 [],2,24,0.0,19.251041666666666,0.12467980776104012,ns
ROI.02 [],ROI.12 [],2,1,0.0,0.0,1.0,ns
ROI.02 [],ROI.13 [],2,2,0.0,2.3945000000000007,0.6170750774519738,ns
ROI.02 [],ROI.14 [],2,2,0.0,2.8885000000000005,0.6170750774519738,ns
ROI.02 [],ROI.15 [],2,1,0.0,5.277000000000001,1.0,ns
ROI.02 [],ROI.16 [],2,2,0.0,18.033499999999997,0.22067136191984682,ns
ROI.02 [],ROI.17 [],2,3,0.0,10.09833333333333,0.6830913983096087,ns
ROI.02 [],ROI.19 [],2,1,0.0,39.27699999999999,1.0,ns
ROI.02 [],ROI.21 [],2,1,0.0,3.778999999999997,1.0,ns
ROI.02 [],ROI.22 [],2,1,0.0,32.77799999999999,1.0,ns
ROI.02 [],ROI.24 [],2,12,0.0,31.40275,0.07945882680674253,ns
ROI.02 [],ROI.25 [],2,17,0.0,11.558058823529409,0.31845489344441336,ns
ROI.02 [],ROI.26 [],2,9,0.0,23.497222222222224,0.11685354835788317,ns
ROI.03 [],ROI.04 [],1,1,4.7890000000000015,3.778999999999997,1.0,ns
ROI.03 [],ROI.05 [],1,2,4.7890000000000015,2.6385000000000005,1.0,ns
ROI.03 [],ROI.06 [],1,11,4.7890000000000015,15.315999999999997,1.0,ns
ROI.03 [],ROI.07 [],1,2,4.7890000000000015,2.8885000000000005,1.0,ns
ROI.03 [],ROI.08 [],1,1,4.7890000000000015,0.7780000000000058,1.0,ns
ROI.03 [],ROI.09 [],1,9,4.7890000000000015,6.012555555555555,1.0,ns
ROI.03 [],ROI.10 [],1,2,4.7890000000000015,0.0,1.0,ns
ROI.03 [],ROI.11 [],1,24,4.7890000000000015,19.251041666666666,1.0,ns
ROI.03 [],ROI.12 [],1,1,4.7890000000000015,0.0,1.0,ns
ROI.03 [],ROI.13 [],1,2,4.7890000000000015,2.3945000000000007,1.0,ns
